Source,Type,Target,Weight
Arlena Marschall,Undirected,Christine Redfern,2
Arlena Marschall,Undirected,Kenneth Marschall,4
Arlena Marschall,Undirected,Major Barry,2
Arlena Marschall,Undirected,Miss Brewster,4
Arlena Marschall,Undirected,Mr Gardener,1
Arlena Marschall,Undirected,Mr Lane,1
Arlena Marschall,Undirected,Mrs Gardener,1
Arlena Marschall,Undirected,Patrick Redfern,5
Arlena Marschall,Undirected,Poirot,4
Arlena Marschall,Undirected,Rosamund Darnley,1
Christine Redfern,Undirected,Colonel Weston,3
Christine Redfern,Undirected,Dr Neasdon,1
Christine Redfern,Undirected,Gladys Narracott,1
Christine Redfern,Undirected,Inspector Colgate,2
Christine Redfern,Undirected,Kenneth Marschall,2
Christine Redfern,Undirected,Linda,3
Christine Redfern,Undirected,Major Barry,3
Christine Redfern,Undirected,Miss Brewster,3
Christine Redfern,Undirected,Mr Blatt,2
Christine Redfern,Undirected,Mr Gardener,1
Christine Redfern,Undirected,Mr Lane,3
Christine Redfern,Undirected,Mrs Gardener,2
Christine Redfern,Undirected,Patrick Redfern,5
Christine Redfern,Undirected,Poirot,9
Christine Redfern,Undirected,Rosamund Darnley,3
Colonel Weston,Undirected,Dr Neasdon,2
Colonel Weston,Undirected,Gladys Narracott,2
Colonel Weston,Undirected,Inspector Colgate,18
Colonel Weston,Undirected,Kenneth Marschall,3
Colonel Weston,Undirected,Linda,1
Colonel Weston,Undirected,Major Barry,1
Colonel Weston,Undirected,Miss Brewster,1
Colonel Weston,Undirected,Mr Blatt,1
Colonel Weston,Undirected,Mr Gardener,1
Colonel Weston,Undirected,Mr Lane,2
Colonel Weston,Undirected,Mrs Castle,2
Colonel Weston,Undirected,Mrs Gardener,1
Colonel Weston,Undirected,Patrick Redfern,4
Colonel Weston,Undirected,Poirot,25
Colonel Weston,Undirected,Rosamund Darnley,3
Colonel Weston,Undirected,Sergeant Philips,2
Dr Neasdon,Undirected,Gladys Narracott,1
Dr Neasdon,Undirected,Inspector Colgate,2
Dr Neasdon,Undirected,Kenneth Marschall,2
Dr Neasdon,Undirected,Miss Brewster,1
Dr Neasdon,Undirected,Patrick Redfern,2
Dr Neasdon,Undirected,Poirot,2
Dr Neasdon,Undirected,Rosamund Darnley,1
Gladys Narracott,Undirected,Kenneth Marschall,1
Gladys Narracott,Undirected,Patrick Redfern,1
Gladys Narracott,Undirected,Poirot,2
Gladys Narracott,Undirected,Rosamund Darnley,1
Inspector Colgate,Undirected,Kenneth Marschall,2
Inspector Colgate,Undirected,Linda,1
Inspector Colgate,Undirected,Major Barry,1
Inspector Colgate,Undirected,Miss Brewster,1
Inspector Colgate,Undirected,Mr Gardener,1
Inspector Colgate,Undirected,Mrs Castle,2
Inspector Colgate,Undirected,Mrs Gardener,1
Inspector Colgate,Undirected,Patrick Redfern,2
Inspector Colgate,Undirected,Poirot,17
Inspector Colgate,Undirected,Rosamund Darnley,1
Kenneth Marschall,Undirected,Linda,2
Kenneth Marschall,Undirected,Major Barry,2
Kenneth Marschall,Undirected,Miss Brewster,2
Kenneth Marschall,Undirected,Mr Gardener,1
Kenneth Marschall,Undirected,Mrs Gardener,2
Kenneth Marschall,Undirected,Patrick Redfern,4
Kenneth Marschall,Undirected,Poirot,8
Kenneth Marschall,Undirected,Rosamund Darnley,5
Linda,Undirected,Poirot,2
Linda,Undirected,Rosamund Darnley,2
Major Barry,Undirected,Miss Brewster,5
Major Barry,Undirected,Mr Blatt,1
Major Barry,Undirected,Mr Gardener,2
Major Barry,Undirected,Mr Lane,3
Major Barry,Undirected,Mrs Gardener,4
Major Barry,Undirected,Patrick Redfern,3
Major Barry,Undirected,Poirot,7
Major Barry,Undirected,Rosamund Darnley,2
Miss Brewster,Undirected,Mr Blatt,1
Miss Brewster,Undirected,Mr Gardener,3
Miss Brewster,Undirected,Mr Lane,3
Miss Brewster,Undirected,Mrs Gardener,4
Miss Brewster,Undirected,Patrick Redfern,7
Miss Brewster,Undirected,Poirot,7
Miss Brewster,Undirected,Rosamund Darnley,2
Mr Blatt,Undirected,Mr Gardener,1
Mr Blatt,Undirected,Mr Lane,1
Mr Blatt,Undirected,Mrs Gardener,1
Mr Blatt,Undirected,Patrick Redfern,2
Mr Blatt,Undirected,Poirot,3
Mr Blatt,Undirected,Rosamund Darnley,1
Mr Gardener,Undirected,Mr Lane,1
Mr Gardener,Undirected,Mrs Gardener,4
Mr Gardener,Undirected,Patrick Redfern,2
Mr Gardener,Undirected,Poirot,5
Mr Gardener,Undirected,Rosamund Darnley,1
Mr Lane,Undirected,Mrs Gardener,2
Mr Lane,Undirected,Patrick Redfern,4
Mr Lane,Undirected,Poirot,5
Mr Lane,Undirected,Rosamund Darnley,1
Mr Lane,Undirected,Sergeant Philips,2
Mrs Castle,Undirected,Poirot,2
Mrs Gardener,Undirected,Patrick Redfern,2
Mrs Gardener,Undirected,Poirot,7
Mrs Gardener,Undirected,Rosamund Darnley,1
Patrick Redfern,Undirected,Poirot,11
Patrick Redfern,Undirected,Rosamund Darnley,3
Patrick Redfern,Undirected,Sergeant Philips,2
Poirot,Undirected,Rosamund Darnley,5
Poirot,Undirected,Sergeant Philips,2
