"","negative","positive","neg_positive","neg_negative"
"text1",0,1,0,0
"text2",0,0,0,0
"text3",0,0,0,0
"text4",0,0,0,0
"text5",0,0,0,0
"text6",0,0,0,0
"text7",0,0,0,0
"text8",0,0,0,0
"text9",0,0,0,0
"text10",0,1,0,0
"text11",0,1,0,0
"text12",1,0,0,0
"text13",0,1,0,0
"text14",1,0,0,0
"text15",0,1,0,0
"text16",0,0,0,0
"text17",0,0,0,0
"text18",0,1,0,0
"text19",0,0,0,0
"text20",1,0,0,0
"text21",0,0,0,0
"text22",0,0,0,0
"text23",1,0,0,0
"text24",0,0,0,0
"text25",1,0,0,0
"text26",0,0,0,0
"text27",0,1,0,0
"text28",0,0,0,0
"text29",0,0,0,0
"text30",0,1,0,0
"text31",0,0,0,0
"text32",1,0,0,0
"text33",1,0,0,0
"text34",0,0,0,0
"text35",0,0,0,0
"text36",0,0,0,0
"text37",0,0,0,0
"text38",0,1,0,0
"text39",0,0,0,0
"text40",0,1,0,0
"text41",0,0,0,0
"text42",0,0,0,0
"text43",0,0,0,0
"text44",0,0,0,0
"text45",1,0,0,0
"text46",0,1,0,0
"text47",0,0,0,0
"text48",0,0,0,0
"text49",0,0,0,0
"text50",1,0,0,0
"text51",0,0,0,0
