target,source,similarity
Blacklog,Marple, 0.9972015023231506
Blacklog,Hinchliffe, 0.9782922863960266
Blacklog,Bunner, 0.9777820706367493
Blacklog,Murgatroyd, 0.9465370774269104
Blacklog,Craddock, 0.9229413270950317
Blacklog,Bunch, 0.9101682901382446
Blacklog,Patrick, 0.9055620431900024
Blacklog,Julia, 0.9040252566337585
Blacklog,Simmons, 0.9039602875709534
Blacklog,Dora, 0.9035447239875793
Blacklog,Rydesdale, 0.8980308175086975
Blacklog,Edmund, 0.8973737955093384
Blacklog,Detective-Inspector, 0.8969618082046509
Blacklog,Inspector, 0.8967994451522827
Blacklog,Easterbrook, 0.8962714672088623
Blacklog,Colonel, 0.8959507346153259
Blacklog,Totman, 0.8956683874130249
Blacklog,Phillipa, 0.8940632939338684
Blacklog,Letitia, 0.8919889330863953

