target,type,source
Christine,undirected,got up
got up,undirected,abruptly
Christine,undirected,dressed
Christine,undirected,arrived
Christine,undirected,asked
asked,undirected,in her quiet voice
Christine,undirected,burst into speech
Christine,undirected,came down
Christine,undirected,came up
Christine,undirected,mounted the steps
Christine,undirected,arranged
arranged,undirected,easily
Christine,undirected,entered the room
Christine,undirected,exclaimed
Christine,undirected,flushed
Christine,undirected,frowned
Christine,undirected,glanced up
Christine,undirected,got in
Christine,undirected,laughed
laughed,undirected,shortly
Christine,undirected,looked round
Christine,unconcerned,different
Christine,unconcerned,real
Christine,unconcerned,ridiculous
looked round,undirected,helplessly
Christine,undirected,murmured
Christine,undirected,nodded
Christine,undirected,paused
Christine,undirected,picks up
Christine,undirected,played a part
Christine,undirected,reflected
Christine,undirected,screwed up
screwed up,undirected,her eyes
Christine,undirected,sketched
Christine,undirected,shook
shook,undirected,her head
Christine,undirected,smiled
smiled,undirected,faintly
smiled,undirected,ruefully
Christine,undirected,sobbed
Christine,undirected,spoke
spoke,undirected,coldly
spoke,undirected,sharply
spoke,undirected,very little
Christine,undirected,sprang
sprang,undirected,lightly
Christine,undirected,stared
Christine,undirected,takes the hat
Christine,undirected,ran across
ran across,undirected,unconcerned
Christine,undirected,wanted to kill
Christine,undirected,worked on her
Christine,undirected,said
said,undirected,rather sharply
Christine,undirected,hesitated
Christine,undirected,stopped
Christine,undirected,wife
Christine,undirected,a school teacher
Christine,undirected,standing in Linda's room
Christine,undirected,a most indifferent artist
















