"source,""negative"",""positive"",""neg_positive"",""neg_negative"""
asked,0,0,0,0
curiously,0,1,0,0
walked,0,0,0,0
with limp,1,0,0,0
cried,1,0,0,0
a good fellow,0,1,0,0
a complete outsider,0,0,0,0
approach,0,0,0,0
arrived,0,0,0,0
bewildered,1,0,0,0
obedient,0,0,0,0
followed,0,0,0,0
blushed,0,0,0,0
came back,0,0,0,0
cleared throat,0,1,0,0
complied,0,0,0,0
conversed,0,0,0,0
drew a deep breath,0,0,0,0
said,0,0,0,0
dryly,0,0,0,0
hotly,0,0,0,0
slowly,0,0,0,0
smiling,0,1,0,0
unemotionally,0,0,0,0
with keen attention,0,1,0,0
with a smile,0,1,0,0
with dignity,0,1,0,0
with an austere politeness,1,1,0,0
smiled,0,1,0,0
a little,0,0,0,0
sympathetically,0,1,0,0
made no reply,0,0,0,0
drops off,0,0,0,0
entered,0,0,0,0
exchanged glances,0,0,0,0
gave a gasp,1,0,0,0
greeted,0,1,0,0
quick,0,0,0,0
intelligent,0,1,0,0
resourceful,0,1,0,0
distinct charm of manner,0,1,0,0
rose,0,0,0,0
in concern,1,0,0,0
threw glances,0,0,0,0
talked,0,0,0,0
a jewel robbery,1,1,0,0
joined,0,1,0,0
kind,0,0,0,0
trustworthy,0,1,0,0
laughed,0,0,0,0
left,0,0,0,0
listened,0,0,0,0
politely,0,1,0,0
looked a little puzzled,1,0,0,0
looked at,0,0,0,0
in astonishment,0,0,0,0
in some surprise,0,0,0,0
interpreted,0,0,0,0
made a deprecating gesture,1,0,0,0
mentioned,0,0,0,0
percieved,0,0,0,0
remained sympathetically silent,0,1,0,0
retired,0,0,0,0
discreetly,0,1,0,0
roll up the body,0,0,0,0
shot a swift glance,0,0,0,0
spoke,0,0,0,0
French like a Frenchman,0,1,0,0
sprang,0,0,0,0
looked slightly doubtful,1,0,0,0
bent over,0,0,0,0
assiduously,0,1,0,0
stood staring,0,0,0,0
told,0,0,0,0
turned away,0,0,0,0
tactfully,0,1,0,0
careful,0,1,0,0
at a loss,1,0,0,0
efficient,0,1,0,0
her murderer,1,0,0,0
nervous,1,0,0,0
overjoyed,0,1,0,0
went on,0,0,0,0
went down,0,0,0,0
yawned,1,0,0,0
murmured,0,0,0,0
mused,0,0,0,0
objected,0,0,0,0
observed,0,0,0,0
young,0,0,0,0
whispered,0,0,0,0
